UPC,Description,Cost,QoH,Special Price Method,Unit Price,Group Price,Group Qty,Start Date,End Date,Net Sales,Foodstamp,Scale,Scanned Count
0044738072342,SWEET CHILL SAUCE ,5.5,2,,,,,,,0,TRUE,FALSE,0
0047285234690,PEARL ONION ,2.5,4,,,,,,,0,TRUE,FALSE,0
0047900507307, BLUE PLA REAL MAYONNAISE ,3.98,-4,,,,,,,0,TRUE,FALSE,0
0048001213487,HELL REAL MAYONNAISE ,5.48,0,,,,,,,0,TRUE,FALSE,0
0048001711273,MAIZENA CORN STARCH ,1.78,2,,,,,,,0,TRUE,FALSE,0
0049200007259,DOMINO SUGAR ,2.72,5,,,,,,,0,TRUE,FALSE,0
0049200045503,DOMINO SUGAR 4LB ,4.54,0,,,,,,,0,TRUE,FALSE,0
0050000334803,NESTLE VANILLA CARAMEL ,4.98,0,,,,,,,0,TRUE,FALSE,0
0050000458172,NESTLE CHOCLATE CREME ,4.98,0,,,,,,,0,TRUE,FALSE,0
0051179001183,AEROPLANE TAMARIND ,1,51,,,,,,,0,TRUE,FALSE,0
0051179100305,SWAD BLACK BEANS ,3,1,,,,,,,0,TRUE,FALSE,0
0051179100503,SWAD CHANA DAL 2LB ,1.83,10,,,,,,,0,TRUE,FALSE,0
0051179100954,SWAD KABULI CHANA 2LB ,1.93,17,,,,,,,0,TRUE,FALSE,0
0051179101159,SWAD KALA CHANA 2LB ,1.75,14,,,,,,,0,TRUE,FALSE,0
0051179101173,SWAD KALA CHANA 7LB ,6.16,3,,,,,,,0,TRUE,FALSE,0
0051179101258,SWAD KALA CHANA ,3.49,8,,,,,,,0,TRUE,FALSE,0
0051179101609,SWAD MASOOR DAL 2LB,1.725,4,,,,,,,0,TRUE,FALSE,0
0051179101906,SWAD MASOOR WHOLE 4LB,3.8,6,,,,,,,0,FALSE,FALSE,0
0051179102200,SWAD MOONG DAL 2LB ,2.2,8,,,,,,,0,TRUE,FALSE,0
0051179102354,SWAD MOONG SPLIT 4lb ,5.5,0,,,,,,,0,TRUE,FALSE,0
0051179102378,SWAD MOONG SPLIT 7LB ,7.83,10,,,,,,,0,TRUE,FALSE,0
0051179103047,SWAD RED CHORI ,6.5,0,,,,,,,0,TRUE,FALSE,0
0051179103153,SOYA WADI 400G ,1.5,8,,,,,,,0,TRUE,FALSE,0
0051179103221,SWAD DESI CHORI,5,9,,,,,,,0,TRUE,FALSE,0
0051179104969,SWAD URAD WHOLE GOTA ,3.99,0,,,,,,,0,TRUE,FALSE,0
0051179105607,SWAD VATANA GREEN 4LB,2.6,8,,,,,,,0,TRUE,FALSE,0
